Baca - Berita  Video dan Humor,30 December 2016,NIP, 3.0.3.4  ,Rated for 3+,News & Magazines,Install,4.0,132510, 5000000 ,
BaBe - Baca Berita,8 December 2016,Mainspring, 5.9.1  ,Rated for 3+,News & Magazines,Install,4.3,286128, 5000000 ,Top Developer
VOA News,14 December 2016,VOA (Voice of America), 3.3.1  ,Rated for 3+,News & Magazines,Install,4.4,15258, 500000 ,
BaBe+ - Berita Indonesia,13 October 2016,Mainspring,,Rated for 3+,News & Magazines,Install,3.8,404, 10000 ,Top Developer
Kompascom,30 December 2016,Kompas.com, 5.2.5  ,Rated for 3+,News & Magazines,Install,4.3,85732, 1000000 ,
Blockman Multiplayer for MCPE,30 December 2016,Blockman Multiplayer,,Rated for 3+,Tools,Install,4.3,366291, 5000000 ,
Texture Pack for Minecraft PE,2 November 2016,Proton G, 287  ,Rated for 3+,Tools,Install,4.0,39409, 1000000 ,
Toolbox for Minecraft: PE,22 December 2016,MCMrARM, 3.2.14  ,Rated for 3+,Tools,Install,4.1,309982, 10000000 ,
Pixelmon Mod for minecraft,8 November 2016,Lorenzo Rodríguez Márquez, 13.0  ,Rated for 3+,Tools,Install,3.1,15875, 1000000 ,
Building Guide: Minecraft Free,11 June 2014,Gamers Creator LLC, 1.1  ,Unrated,Books & Reference,Install,3.4,10219, 500000 ,
Guide Minecraft Pocket Edition,17 August 2016,Free Games for Kids, 1.0  ,Rated for 3+,Books & Reference,Install,2.8,365, 50000 ,
BlockLauncher,21 December 2016,Zhuowei Zhang, 1.15.1  ,Rated for 3+,Tools,Install,3.7,1001300, 10000000 ,
Mods for Minecraft PE,4 January 2017,Kissapp S. L., 1.07  ,Rated for 3+,Tools,Install,4.1,952, 100000 ,
MCPE Mods 2016,18 October 2016,CuongDangStudio, 1.5  ,Rated for 3+,Tools,Install,3.8,6011, 500000 ,
Hub of Minecraft PE,30 April 2016,AndrOyuN, 2.1  ,Rated for 3+,Tools,Install,4.2,1402, 10000 ,
VOA News [Voice of America],19 July 2016,Vegita, 2.0  ,Rated for 3+,News & Magazines,Install,4.3,6, 5000 ,
BBC News,6 December 2016,Media Applications Technologies for the BBC,,Rated for 3+,News & Magazines,Install,3.9,90864, 5000000 ,Top Developer
Türkçe Dil: Minecraft PE,26 November 2016,AndrOyuN, 1.34  ,Rated for 3+,Tools,Install,4.4,5776, 100000 ,
Central das Notícias lite,10 November 2016,NIP, 2.4.1.3  ,Rated for 18+,News & Magazines,Install,4.2,124, 10000 ,
HD furniture mod for minecraft,4 November 2016,AllenDung, 1.0  ,Rated for 3+,Tools,Install,2.7,1300, 100000 ,
Kompas Cincin Api,13 March 2014,Kompas.com, 3.4.2.9.92332 ,Unrated,Travel & Local,Install,2.8,17, 1000 ,
Kompas Editors' Choice,17 June 2012,Kompas.com, 2.5.0.2.48659 ,Unrated,News & Magazines,Install,3.2,38, 5000 ,
Kompas TV,26 June 2012,Kompas.com, 1.0  ,Unrated,Entertainment,Install,3.9,109, 10000 ,
Sky News,12 December 2016,Sky UK Limited, 4.4.0.0365  ,Rated for 3+,News & Magazines,Install,3.7,19215, 1000000 ,Top Developer
Servers For Minecraft PE,28 August 2016,Apps Nation, 2.4  ,Rated for 3+,Tools,Install,4.1,9353, 500000 ,
Syfy Building Guide: Minecraft,7 December 2015,Gamers Creator LLC, 1.0  ,Rated for 3+,Books & Reference,Install,2.9,66, 5000 ,
Skins for Minecraft PE & PC,4 January 2017,Kissapp S. L., 1.19  ,Rated for 3+,Tools,Install,4.2,3370, 100000 ,
Servers for Minecraft PE,4 January 2017,Kissapp S. L., 1.12  ,Rated for 3+,Tools,Install,3.6,3537, 100000 ,
House Guide:Minecraft Building,20 June 2014,Gamers Creator LLC, 1.0  ,Rated for 3+,Books & Reference,Install,3.5,7107, 500000 ,
Seeds for Minecraft PE,30 July 2016,CuongDangStudio, 1.1.4  ,Rated for 3+,Tools,Install,4.1,879, 100000 ,
Skins for Minecraft PE,3 January 2016,CuongDangStudio, 1.0  ,Rated for 3+,Tools,Install,3.7,218, 10000 ,
Nightcore Radio Plus,4 November 2015,AndrOyuN, 1.2  ,Rated for 12+,Music & Audio,Install,3.7,61, 1000 ,
Render GUI Addon: Minecraft PE,4 December 2016,AndrOyuN, 1.33  ,Rated for 3+,Tools,Install,4.4,277, 10000 ,
Fleeing the Popo,30 May 2012,zhuoweizhang, 1.1.1  ,Unrated,Arcade,Install,3.0,131, 10000 ,
Parkour Maps for MCPE,29 November 2016,CuongDangStudio, 1.0  ,Rated for 3+,Tools,Install,4.6,14, 1000 ,
Puzzle Maps for MCPE,29 November 2016,CuongDangStudio, 1.0  ,Rated for 3+,Tools,Install,5.0,3, 100 ,
News Break - Video and Local,3 January 2017,In Now, 2.9.5  ,Rated for 3+,News & Magazines,Install,4.5,7597, 1000000 ,
Azteca Noticias,1 July 2016,TV AZTECA, 6.0.3  ,Rated for 3+,News & Magazines,Install,4.0,2152, 500000 ,
JN - Jornal de Notícias,14 October 2016,Global Media Group, 3.0.3  ,Rated for 3+,News & Magazines,Install,3.8,1651, 100000 ,
Hack Installer- Cheat Mod Game,18 October 2016,TapGamer Inc., 3.1.1  ,Rated for 3+,Tools,Install,3.8,9421, 500000 ,
Univision Noticias,20 December 2016,Univision Communications Inc., 5.8.0  ,Rated for 3+,News & Magazines,Install,4.3,9325, 1000000 ,Top Developer
EL PAÍS,2 November 2016,El País,  Varies with d,Rated for 3+,News & Magazines,Install,3.6,7566, 1000000 ,Top Developer
Gymnastics Quiz & Trivia,23 May 2015,Apps Nation, 1.0  ,Rated for 3+,Trivia,Install,3.1,17, 1000 ,
Cat Quiz & Trivia,15 September 2016,Apps Nation, 1.1  ,Rated for 3+,Trivia,Install,3.0,2, 100 ,
Top 30+ Afghanistan Newspaper,24 April 2016,Vegita, 1.0  ,Rated for 3+,News & Magazines,Install,4.5,2, 100 ,
Top Farsi News,4 July 2016,Vegita, 1.0  ,Rated for 3+,News & Magazines,Install,3.8,6, 100 ,
Jornal do Brasil,6 December 2016,Baris Efe, 2.2.1.1  ,Rated for 3+,News & Magazines,Install,4.5,3748, 100000 ,Top Developer
Maps For Minecraft PE,5 August 2016,Apps Nation, 1.5  ,Rated for 3+,Tools,Install,4.3,2585, 100000 ,
